BGM ID	WD ID	PlayStation2 Name	Description	Loop
91	91	Kairi	Cutscene	Yes
92	92	A Walk In Adante	Cutscene	Yes
93	93	Villains Of A Sort	Cutscene	Yes
94	94	Organization XIII	Cutscene	Yes
95	95	Apprehension	Cutscene	Yes
96	96	Courage	Cutscene	Yes
97	97	Laughter and Merriment	Cutscene	Yes
98	98	Hesitation	Cutscene	Yes
99	99	Missing You	Cutscene	Yes
100	100	The Underworld	Underworld Field	Yes
101	101	Waltz Of The Damned	Beast Castle Field	Yes
102	100	What Lies Beneath	Underworld Battle	Yes
103	103	Olympus Coliseum	Olympus Coliseum Field	Yes
104	101	Dance Of The Daring	Beast Castle Battle	Yes
106	106	Under The Sea	Atlantica Minigame	No
107	107	Ursula Revenge	Atlantica Minigame	No
108	108	Part Of Your World	Atlantica Minigame	No
109	109	A New Day Is Dawning	Atlantica Minigame	No
110	110	The Encounter	Event Battle/Boss	Yes
111	111	Sinister Shadows	Event Battle/Boss	Yes
112	116	Fields of Honor	Land of Dragons Battle	Yes
113	113	Swim This Way	Atlantica Minigame	No
114	114	Tension Rising	Event Battle/Boss	Yes
115	115	The Corrupted	Event Battle/Boss	Yes
116	116	The Home Of Dragons	Land of Dragons Field	Yes
117	117	Rowdy Rumble	Event Battle/Boss	Yes
118	118	Lazy Afternoons	Twilight Town Field (Roxas)	Yes
119	118	Sinister Sundown	Twilight Town Battle (Roxas)	Yes
120	120	Beneath the Ground (Variation A)	Underworld Cups	Yes
121	121	Desire for All That Lost	Event Battle/Boss	Yes
122	122	Lets Sing And Dance (Part A)	Atlantica Minigame	Yes
123	122	Lets Sing And Dance (Part B)	Atlantica Minigame	Yes
124	122	Lets Sing And Dance (Part C)	Atlantica Minigame	Yes
125	122	Lets Sing And Dance (Part D)	Atlantica Minigame	Yes
127	127	A Day in Agrabah	Agrabah Field	Yes
128	127	Arabian Dream 	Agrabah Battle	Yes
129	129	Isn't It Lovely	Atlantica Field	Yes
130	130	Never Land Sky (UNUSED)	Neverland Clocktower Field (KH1)	Yes
131	131	Dance to the Death	Event Battle/Boss	Yes
132	132	Beauty and the Beast	Cutscene	No
133	133	Magical Mystery	Mysterious Tower Field	Yes
134	133	Working Together (Mysterious Tower)	Mysterious Tower Battle	Yes
135	135	Space Paranoids	Space Paranoids Field	Yes
136	135	Byte Bashing	Space Paranoids Battle	Yes
137	137	A Twinkle in the Sky	World Map	Yes
138	138	Shipmeisters Shanty	Gummi Hangar	Yes
139	138	Gearing Up	Gummi Hangar	Yes
140	140	Under The Sea (UNUSED)	Atlantica Field (KH1)	Yes
141	141	Winnie The Pooh	100 Acre Wood Field	Yes
142	142	Crossing the Finish Line	Gummi Ship	Yes
143	143	Mickey Mouse Club March	Disney Castle Field	Yes
144	144	This Is Halloween	Halloween Town Field	Yes
145	145	Vim and Vigor	Event Battle/Boss	Yes
146	146	Roxas	Cutscene	Yes
147	147	An Adventure in Atlantica (UNUSED)	Atlantica Battle (KH1)	Yes
148	148	Blast Off!	Gummi Hangar	Yes
149	144	Spooks Of Halloween Town	Halloween Town Battle	Yes
150	150	Squirming Evil (UNUSED)	Event Battle/Boss (KH1)	Yes
151	151	The 13th Struggle	Event Battle/Boss	Yes
152	152	Reviving Hollow Bastion	Hollow Bastion Field	Yes
153	152	Scherzo Di Notte	Hollow Bastion Battle	Yes
154	154	Nights Of The Cursed	Port Royal Field	Yes
155	154	He Is A Pirate	Port Royal Battle	Yes
156	156	Guardand Nel Buio (UNUSED)	Event Battle/Boss (KH1)	Yes
158	158	Bounce-O-Rama	100 Acre Wood Minigame	Yes
159	159	Bounce-O-Rama (Speed Up Version)	100 Acre Wood Minigame	Yes
162	163	Villains Of A Sort A (UNUSED)	Cutscene (KH1)	No
163	163	Villains Of A Sort B (UNUSED)	Cutscene (KH1)	Yes
164	164	Road To Hero	Olympus Coliseum Minigame	Yes
166	166	Villains Of A Sort C (UNUSED)	Cutscene (KH1)	No
167	166	Villains Of A Sort D (UNUSED)	Cutscene (KH1)	No
168	166	Villains Of A Sort E (UNUSED)	Cutscene (KH1)	Yes
169	166	Villains Of A Sort F (UNUSED)	Cutscene (KH1)	No
175	175	Villains Of A Sort G (UNUSED)	Cutscene (KH1)	No
185	185	The 13th Dilemma	Boss	Yes
186	186	Adventures In The Savannah	Pride Lands Field	Yes
187	186	Savannah Pride	Pride Lands Battle	Yes
188	188	One Winged Angel	Boss	Yes
189	189	Monochrome Dreams	Timeless River Field	Yes
190	189	Old Friends, Old Rivals	Timeless River Battle	Yes
200	N/A	Oopsy-Daisy (UNUSED)	Cutscene (KH1)	No
299	N/A	Daughter of Madain Sari (UNUSED)	(FF9)	Yes
